code,naam,cat,subcat,eenheid,leverancier
4504932,Sok PVC buis 3/4 halogeenvrij,Elektra,PVC Buis & Toebehoren,stuk
1527969,Schnabl zadel voor 3/4 buis,Elektra,PVC Buis & Toebehoren,stuk
0505966,Duimplug voor schnabl,Elektra,PVC Buis & Toebehoren,stuk
1598804,Kabeldoos Attema ak2,Elektra,Verbinding & Aansluitingen,stuk
3297116,Stekker los zwart,Elektra,Verbinding & Aansluitingen,stuk
2020519,Wartels M25,Elektra,Verbinding & Aansluitingen,stuk
2020782,Contramoer M25,Elektra,Verbinding & Aansluitingen,stuk
"676031,""Adereindhuls 0,75mm²"",Elektra,Verbinding & Aansluitingen,stuk"
"676056,""Adereindhuls 1,5mm²"",Elektra,Verbinding & Aansluitingen,stuk"
1373886,Adereindhuls ass. Doos,Elektra,Verbinding & Aansluitingen,stuk
99WS1014,Montageplaat voor werkschakelaars,Elektra,Verbinding & Aansluitingen,stuk
1682319,Ty-Raps 100st,Elektra,Bevestiging & Beheer,stuk
5961203,Isolatie 13/ leiding 10 (3/8),Isolatie,Armaflex 13mm,stuk
5961204,Isolatie 13/ leiding 12 (1/2),Isolatie,Armaflex 13mm,stuk
5961205,Isolatie 13/ leiding 15 (5/8),Isolatie,Armaflex 13mm,stuk
5961206,Isolatie 13/ leiding 19 (3/4),Isolatie,Armaflex 13mm,stuk
5961208,Isolatie 13/ leiding 22 (7/8),Isolatie,Armaflex 13mm,stuk
5961210,Isolatie 13/ leiding 28 (1 1/8),Isolatie,Armaflex 13mm,stuk
5961213,Isolatie 13/ leiding 35 (1 3/8),Isolatie,Armaflex 13mm,stuk
5961215,Isolatie 13/ leiding 42 (1 5/8),Isolatie,Armaflex 13mm,stuk
4104001,Bocht 45° 1/4 ixi,Koeltechnische hulpstukken,Bochten 45° M/M,stuk
4104002,Bocht 45° 3/8 ixi,Koeltechnische hulpstukken,Bochten 45° M/M,stuk
4104003,Bocht 45° 1/2 ixi,Koeltechnische hulpstukken,Bochten 45° M/M,stuk
4104004,Bocht 45° 5/8 ixi,Koeltechnische hulpstukken,Bochten 45° M/M,stuk
4104005,Bocht 45° 3/4 ixi,Koeltechnische hulpstukken,Bochten 45° M/M,stuk
4105021,Bocht 45° 3/8 uxi,Koeltechnische hulpstukken,Bochten 45° M/S,stuk
4105022,Bocht 45° 1/2 uxi,Koeltechnische hulpstukken,Bochten 45° M/S,stuk
4105023,Bocht 45° 5/8 uxi,Koeltechnische hulpstukken,Bochten 45° M/S,stuk
4105024,Bocht 45° 3/4 uxi,Koeltechnische hulpstukken,Bochten 45° M/S,stuk
4107002,Bocht 90° 1/4 ixi,Koeltechnische hulpstukken,Bochten 90° M/M,stuk
4107004,Bocht 90° 3/8 ixi,Koeltechnische hulpstukken,Bochten 90° M/M,stuk
4107006,Bocht 90° 1/2 ixi,Koeltechnische hulpstukken,Bochten 90° M/M,stuk
4107008,Bocht 90° 5/8 ixi,Koeltechnische hulpstukken,Bochten 90° M/M,stuk
4107011,Bocht 90° 3/4 ixi,Koeltechnische hulpstukken,Bochten 90° M/M,stuk
4107036,Bocht 90° 1/4 uxi,Koeltechnische hulpstukken,Bochten 90° M/S,stuk
4107037,Bocht 90° 3/8 uxi,Koeltechnische hulpstukken,Bochten 90° M/S,stuk
4107038,Bocht 90° 1/2 uxi,Koeltechnische hulpstukken,Bochten 90° M/S,stuk
4107043,Bocht 90° 5/8 uxi,Koeltechnische hulpstukken,Bochten 90° M/S,stuk
4102001,Inschuifsok uxi 3/8 x 1/4,Koeltechnische hulpstukken,Inschuifsokken UXI,stuk
4102003,Inschuifsok uxi 1/2 x 1/4,Koeltechnische hulpstukken,Inschuifsokken UXI,stuk
4102002,Inschuifsok uxi 1/2 x 3/8,Koeltechnische hulpstukken,Inschuifsokken UXI,stuk
4102005,Inschuifsok uxi 5/8 x 3/8,Koeltechnische hulpstukken,Inschuifsokken UXI,stuk
4102004,Inschuifsok uxi 5/8 x 1/2,Koeltechnische hulpstukken,Inschuifsokken UXI,stuk
4102007,Inschuifsok uxi 3/4 x 1/2,Koeltechnische hulpstukken,Inschuifsokken UXI,stuk
4702003,Inschuifsok uxi 1/2 x 3/8 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702005,Inschuifsok uxi 5/8 x 3/8 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702004,Inschuifsok uxi 5/8 x 1/2 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702008,Inschuifsok uxi 3/4 x 3/8 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702007,Inschuifsok uxi 3/4 x 1/2 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702006,Inschuifsok uxi 3/4 x 5/8 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702012,Inschuifsok uxi 7/8 x 3/8 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702011,Inschuifsok uxi 7/8 x 1/2 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702010,Inschuifsok uxi 7/8 x 5/8 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702009,Inschuifsok uxi 7/8 x 3/4 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702016,Inschuifsok uxi 1 1/8 x 1/2 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702015,Inschuifsok uxi 1 1/8 x 5/8 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702014,Inschuifsok uxi 1 1/8 x 3/4 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702013,Inschuifsok uxi 1 1/8 x 7/8 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702017,Inschuifsok uxi 1 3/8 x 1 1/8 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702022,Inschuifsok uxi 1 5/8 x 7/8 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4702020,Inschuifsok uxi 1 5/8 x 1 3/8 K65,Koeltechnische hulpstukken,Inschuifsokken UXI K65,stuk
4705002,Bocht 45° 3/8 ixi K65,Koeltechnische hulpstukken,K65 Bochten 45° M/M,stuk
4705003,Bocht 45° 1/2 ixi K65,Koeltechnische hulpstukken,K65 Bochten 45° M/M,stuk
4705004,Bocht 45° 5/8 ixi K65,Koeltechnische hulpstukken,K65 Bochten 45° M/M,stuk
4705005,Bocht 45° 3/4 ixi K65,Koeltechnische hulpstukken,K65 Bochten 45° M/M,stuk
4705006,Bocht 45° 7/8 ixi K65,Koeltechnische hulpstukken,K65 Bochten 45° M/M,stuk
4705009,Bocht 45° 1 1/8 ixi K65,Koeltechnische hulpstukken,K65 Bochten 45° M/M,stuk
4705011,Bocht 45° 1 3/8 ixi K65,Koeltechnische hulpstukken,K65 Bochten 45° M/M,stuk
4705012,Bocht 45° 1 5/8 ixi K65,Koeltechnische hulpstukken,K65 Bochten 45° M/M,stuk
4705024,Bocht 45° 3/4 uxi K65,Koeltechnische hulpstukken,K65 Bochten 45° M/S,stuk
4705025,Bocht 45° 7/8 uxi K65,Koeltechnische hulpstukken,K65 Bochten 45° M/S,stuk
4705026,Bocht 45° 1 1/8 uxi K65,Koeltechnische hulpstukken,K65 Bochten 45° M/S,stuk
4705027,Bocht 45° 1 3/8 uxi K65,Koeltechnische hulpstukken,K65 Bochten 45° M/S,stuk
4705028,Bocht 45° 1 5/8 uxi K65,Koeltechnische hulpstukken,K65 Bochten 45° M/S,stuk
4707004,Bocht 90° 3/8 ixi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/M,stuk
4707006,Bocht 90° 1/2 ixi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/M,stuk
4707008,Bocht 90° 5/8 ixi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/M,stuk
4707011,Bocht 90° 3/4 ixi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/M,stuk
4707014,Bocht 90° 7/8 ixi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/M,stuk
4707019,Bocht 90° 1 1/8 ixi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/M,stuk
4707023,Bocht 90° 1 3/8 ixi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/M,stuk
4707026,Bocht 90° 1 5/8 ixi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/M,stuk
4707028,Bocht 90° 2 1/8 ixi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/M,stuk
4707037,Bocht 90° 3/8 uxi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/S,stuk
4707038,Bocht 90° 1/2 uxi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/S,stuk
4707040,Bocht 90° 5/8 uxi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/S,stuk
4707043,Bocht 90° 3/4 uxi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/S,stuk
4707044,Bocht 90° 7/8 uxi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/S,stuk
4707047,Bocht 90° 1 1/8 uxi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/S,stuk
4707049,Bocht 90° 1 3/8 uxi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/S,stuk
4707050,Bocht 90° 1 5/8 uxi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/S,stuk
4707051,Bocht 90° 2 1/8 uxi K65,Koeltechnische hulpstukken,K65 Bochten 90° M/S,stuk
4701004,Sok 3/8 K65,Koeltechnische hulpstukken,Sokken K65,stuk
4701005,Sok 1/2 K65,Koeltechnische hulpstukken,Sokken K65,stuk
4701006,Sok 5/8 K65,Koeltechnische hulpstukken,Sokken K65,stuk
4701007,Sok 3/4 K65,Koeltechnische hulpstukken,Sokken K65,stuk
4701008,Sok 7/8 K65,Koeltechnische hulpstukken,Sokken K65,stuk
4701010,Sok 1 1/8 K65,Koeltechnische hulpstukken,Sokken K65,stuk
4109002,T-stuk 1/4,Koeltechnische hulpstukken,T-stukken 3x inwendig,stuk
4109004,T-stuk 3/8,Koeltechnische hulpstukken,T-stukken 3x inwendig,stuk
4109005,T-stuk 1/2,Koeltechnische hulpstukken,T-stukken 3x inwendig,stuk
4109006,T-stuk 5/8,Koeltechnische hulpstukken,T-stukken 3x inwendig,stuk
4109007,T-stuk 3/4,Koeltechnische hulpstukken,T-stukken 3x inwendig,stuk
4709004,T-stuk 3/8 K65,Koeltechnische hulpstukken,T-stukken 3x inwendig K65,stuk
4709005,T-stuk 1/2 K65,Koeltechnische hulpstukken,T-stukken 3x inwendig K65,stuk
4709006,T-stuk 5/8 K65,Koeltechnische hulpstukken,T-stukken 3x inwendig K65,stuk
4709007,T-stuk 3/4 K65,Koeltechnische hulpstukken,T-stukken 3x inwendig K65,stuk
4709008,T-stuk 7/8 K65,Koeltechnische hulpstukken,T-stukken 3x inwendig K65,stuk
4709010,T-stuk 1 1/8 K65,Koeltechnische hulpstukken,T-stukken 3x inwendig K65,stuk
4709011,T-stuk 1 3/8 K65,Koeltechnische hulpstukken,T-stukken 3x inwendig K65,stuk
4709012,T-stuk 1 5/8 K65,Koeltechnische hulpstukken,T-stukken 3x inwendig K65,stuk
4709013,T-stuk 2 1/8 K65,Koeltechnische hulpstukken,T-stukken 3x inwendig K65,stuk
"99AC1002,""Aircoleiding rol 1/4"""" 30 m (met iso)"",Koperleiding,Aircoleiding,stuk"
"99AC1004,""Aircoleiding rol 3/8"""" 30 m (met iso)"",Koperleiding,Aircoleiding,stuk"
"99AC1006,""Aircoleiding rol 1/2"""" 30 m (met iso)"",Koperleiding,Aircoleiding,stuk"
"99AC1008,""Aircoleiding rol 5/8"""" 30 m (met iso)"",Koperleiding,Aircoleiding,stuk"
"99AC1010,""Aircoleiding rol 3/4"""" 20 m (met iso)"",Koperleiding,Aircoleiding,stuk"
"99AC1012,""Aircoleiding rol 7/8"""" 20 m (met iso)"",Koperleiding,Aircoleiding,stuk"
"99AC1022,""Combileiding 1/4--3/8"""" 20m (met iso)"",Koperleiding,Combileiding,stuk"
"99AC1042,""Combileiding 1/4--3/8"""" 30m (met iso)"",Koperleiding,Combileiding,stuk"
